year,teamId,team,classification,conference,division,expectedWins,total,conferenceGames,homeGames,awayGames,neutralSiteGames,regularSeason,postseason
2026,2005,Air Force,fbs,Mountain West,,1.7431424260139465,"{""games"":2,""losses"":1,""ties"":0,""wins"":1}","{""games"":1,""losses"":1,""ties"":0,""wins"":0}","{""games"":2,""losses"":1,""ties"":0,""wins"":1}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":2,""losses"":1,""ties"":0,""wins"":1}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}"
2026,2006,Akron,fbs,Mid-American,,0.9872509837150574,"{""games"":2,""losses"":1,""ties"":0,""wins"":1}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":1,""losses"":0,""ties"":0,""wins"":1}","{""games"":1,""losses"":1,""ties"":0,""wins"":0}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":2,""losses"":1,""ties"":0,""wins"":1}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}"
2026,2026,App State,fbs,Sun Belt,East,1.711695522069931,"{""games"":2,""losses"":0,""ties"":0,""wins"":2}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":1,""losses"":0,""ties"":0,""wins"":1}","{""games"":1,""losses"":0,""ties"":0,""wins"":1}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":2,""losses"":0,""ties"":0,""wins"":2}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}"
2026,2032,Arkansas State,fbs,Sun Belt,West,1.007396936416626,"{""games"":2,""losses"":1,""ties"":0,""wins"":1}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":1,""losses"":0,""ties"":0,""wins"":1}","{""games"":1,""losses"":1,""ties"":0,""wins"":0}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":2,""losses"":1,""ties"":0,""wins"":1}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}"
2026,2050,Ball State,fbs,Mid-American,,1.0124031901359558,"{""games"":2,""losses"":1,""ties"":0,""wins"":1}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":1,""losses"":0,""ties"":0,""wins"":1}","{""games"":1,""losses"":1,""ties"":0,""wins"":0}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":2,""losses"":1,""ties"":0,""wins"":1}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}"
2026,2084,Buffalo,fbs,Mid-American,,0.9391478896141052,"{""games"":2,""losses"":1,""ties"":0,""wins"":1}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":1,""losses"":0,""ties"":0,""wins"":1}","{""games"":1,""losses"":1,""ties"":0,""wins"":0}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":2,""losses"":1,""ties"":0,""wins"":1}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}"
2026,2116,UCF,fbs,Big 12,,0.9843000769615173,"{""games"":2,""losses"":1,""ties"":0,""wins"":1}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":1,""losses"":0,""ties"":0,""wins"":1}","{""games"":1,""losses"":1,""ties"":0,""wins"":0}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":2,""losses"":1,""ties"":0,""wins"":1}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}"
2026,2117,Central Michigan,fbs,Mid-American,,0.9378334283828735,"{""games"":2,""losses"":1,""ties"":0,""wins"":1}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":1,""losses"":0,""ties"":0,""wins"":1}","{""games"":1,""losses"":1,""ties"":0,""wins"":0}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":2,""losses"":1,""ties"":0,""wins"":1}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}"
2026,2132,Cincinnati,fbs,Big 12,,1.9919732213020325,"{""games"":2,""losses"":0,""ties"":0,""wins"":2}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":2,""losses"":0,""ties"":0,""wins"":2}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":2,""losses"":0,""ties"":0,""wins"":2}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}"
2026,2199,Eastern Michigan,fbs,Mid-American,,0.9108020663261414,"{""games"":3,""losses"":2,""ties"":0,""wins"":1}","{""games"":1,""losses"":0,""ties"":0,""wins"":1}","{""games"":2,""losses"":1,""ties"":0,""wins"":1}","{""games"":1,""losses"":1,""ties"":0,""wins"":0}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":3,""losses"":2,""ties"":0,""wins"":1}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}"
